cod_matricula,importe_matricula,modalidad,fec_matricula_original,meses_duracion_original,fecha_inicio_reconocimiento_original,fecha_fin_reconocimiento_original,fecha_inicio_producto_original,fecha_fin_producto_original,fecha_inicio_reparto_calculada,fecha_fin_reparto_calculada,origen_fechas_calculadas
CLFC159,380,PRESENCIAL,2025-03-07,0.0,2025-04-25,2025-04-27,2025-04-25,2025-04-27,2025-04-25,2025-04-27,Reconocimiento
CLFC160,70,ONLINE,2025-03-07,4.0,,,,,2025-03-07,2025-03-07,ONLINE: fec_matricula
CLFC382,380,PRESENCIAL,2025-03-20,0.0,2025-04-25,2025-04-27,2025-04-25,2025-04-27,2025-04-25,2025-04-27,Reconocimiento
CLFC385,456,PRESENCIAL,2025-03-20,0.0,2025-04-04,2025-04-06,2025-04-04,2025-04-06,2025-04-04,2025-04-06,Reconocimiento
CLFC388,256,ONLINE,2025-03-20,4.0,,,,,2025-03-20,2025-03-20,ONLINE: fec_matricula
CLFC413,100,ONLINE,2025-03-22,4.0,,,,,2025-03-22,2025-03-22,ONLINE: fec_matricula
CLFC372,665,PRESENCIAL,2025-03-19,0.0,2025-04-26,2025-06-15,2025-04-26,2025-06-15,2025-04-26,2025-06-15,Reconocimiento
CLFC415,80,ONLINE,2025-03-23,4.0,,,,,2025-03-23,2025-03-23,ONLINE: fec_matricula
CLFC416,256,ONLINE,2025-03-23,4.0,,,,,2025-03-23,2025-03-23,ONLINE: fec_matricula
CLFC108,150,ONLINE,2025-03-03,4.0,,,,,2025-03-03,2025-03-03,ONLINE: fec_matricula
CLFC113,100,ONLINE,2025-03-03,4.0,,,,,2025-03-03,2025-03-03,ONLINE: fec_matricula
CLFC114,185,ONLINE,2025-03-03,4.0,,,,,2025-03-03,2025-03-03,ONLINE: fec_matricula
CLFC115,105,ONLINE,2025-03-03,4.0,,,,,2025-03-03,2025-03-03,ONLINE: fec_matricula
CLFC116,175,ONLINE,2025-03-03,4.0,,,,,2025-03-03,2025-03-03,ONLINE: fec_matricula
CLFC122,456,PRESENCIAL,2025-03-04,0.0,2025-03-15,2025-03-30,2025-03-15,2025-03-30,2025-03-15,2025-03-30,Reconocimiento
CLFC123,456,PRESENCIAL,2025-03-04,0.0,2025-05-09,2025-05-11,2025-05-09,2025-05-11,2025-05-09,2025-05-11,Reconocimiento
CLFC143,167,ONLINE,2025-03-05,4.0,,,,,2025-03-05,2025-03-05,ONLINE: fec_matricula
CLFC146,185,ONLINE,2025-03-06,4.0,,,,,2025-03-06,2025-03-06,ONLINE: fec_matricula
CLFC161,150,ONLINE,2025-03-07,4.0,,,,,2025-03-07,2025-03-07,ONLINE: fec_matricula
CLFC166,290,ONLINE,2025-03-07,4.0,,,,,2025-03-07,2025-03-07,ONLINE: fec_matricula
CLFC168,150,ONLINE,2025-03-07,4.0,,,,,2025-03-07,2025-03-07,ONLINE: fec_matricula
CLFC170,100,ONLINE,2025-03-08,4.0,,,,,2025-03-08,2025-03-08,ONLINE: fec_matricula
CLFC177,456,PRESENCIAL,2025-03-09,0.0,2025-03-15,2025-03-30,2025-03-15,2025-03-30,2025-03-15,2025-03-30,Reconocimiento
CLFC178,165,ONLINE,2025-03-09,4.0,,,,,2025-03-09,2025-03-09,ONLINE: fec_matricula
CLFC417,132,ONLINE,2025-03-23,4.0,,,,,2025-03-23,2025-03-23,ONLINE: fec_matricula
CLFC126,320,ONLINE,2025-03-04,4.0,,,,,2025-03-04,2025-03-04,ONLINE: fec_matricula
CLFC129,150,ONLINE,2025-03-04,4.0,,,,,2025-03-04,2025-03-04,ONLINE: fec_matricula
CLFC131,190,ONLINE,2025-03-04,4.0,,,,,2025-03-04,2025-03-04,ONLINE: fec_matricula
CLFC132,70,ONLINE,2025-03-04,4.0,,,,,2025-03-04,2025-03-04,ONLINE: fec_matricula
CLFC133,665,PRESENCIAL,2025-03-04,0.0,2025-04-26,2025-06-15,2025-04-26,2025-06-15,2025-04-26,2025-06-15,Reconocimiento
CLFC135,150,ONLINE,2025-03-05,4.0,,,,,2025-03-05,2025-03-05,ONLINE: fec_matricula
CLFC180,185,ONLINE,2025-03-09,4.0,,,,,2025-03-09,2025-03-09,ONLINE: fec_matricula
CLFC183,456,PRESENCIAL,2025-03-10,0.0,2025-05-09,2025-05-11,2025-05-09,2025-05-11,2025-05-09,2025-05-11,Reconocimiento
CLFC187,665,PRESENCIAL,2025-03-10,0.0,2025-04-26,2025-06-15,2025-04-26,2025-06-15,2025-04-26,2025-06-15,Reconocimiento
CLFC188,320,ONLINE,2025-03-10,4.0,,,,,2025-03-10,2025-03-10,ONLINE: fec_matricula
CLFC193,150,ONLINE,2025-03-10,4.0,,,,,2025-03-10,2025-03-10,ONLINE: fec_matricula
CLFC248,160,ONLINE,2025-03-12,4.0,,,,,2025-03-12,2025-03-12,ONLINE: fec_matricula
CLFC38,1,ONLINE,2025-02-26,4.0,,,,,2025-02-26,2025-02-26,ONLINE: fec_matricula
CLFC42,320,ONLINE,2025-02-26,4.0,,,,,2025-02-26,2025-02-26,ONLINE: fec_matricula
CLFC43,0,ONLINE,2025-02-26,4.0,,,,,2025-02-26,2025-02-26,ONLINE: fec_matricula
CLFC46,456,PRESENCIAL,2025-02-26,0.0,2025-05-09,2025-05-11,2025-05-09,2025-05-11,2025-05-09,2025-05-11,Reconocimiento
CLFC50,456,PRESENCIAL,2025-02-26,0.0,2025-03-15,2025-03-30,2025-03-15,2025-03-30,2025-03-15,2025-03-30,Reconocimiento
CLFC62,456,PRESENCIAL,2025-02-27,0.0,2025-04-04,2025-04-06,2025-04-04,2025-04-06,2025-04-04,2025-04-06,Reconocimiento
CLFC78,665,PRESENCIAL,2025-02-27,0.0,2025-03-22,2025-06-01,2025-03-22,2025-06-01,2025-03-22,2025-06-01,Reconocimiento
CLFC79,150,ONLINE,2025-02-27,4.0,,,,,2025-02-27,2025-02-27,ONLINE: fec_matricula
CLFC83,165,ONLINE,2025-02-27,4.0,,,,,2025-02-27,2025-02-27,ONLINE: fec_matricula
CLFC84,110,ONLINE,2025-02-28,4.0,,,,,2025-02-28,2025-02-28,ONLINE: fec_matricula
CLFC86,361,PRESENCIAL,2025-02-28,0.0,2025-04-25,2025-04-27,2025-04-25,2025-04-27,2025-04-25,2025-04-27,Reconocimiento
CLFC97,185,ONLINE,2025-03-01,4.0,,,,,2025-03-01,2025-03-01,ONLINE: fec_matricula
CLFC98,105,ONLINE,2025-03-01,4.0,,,,,2025-03-01,2025-03-01,ONLINE: fec_matricula
CLFC127,135,ONLINE,2025-03-04,4.0,,,,,2025-03-04,2025-03-04,ONLINE: fec_matricula
CLFC139,410,PRESENCIAL,2025-03-05,0.0,2025-04-04,2025-04-06,2025-04-04,2025-04-06,2025-04-04,2025-04-06,Reconocimiento
CLFC254,180,ONLINE,2025-03-13,4.0,,,,,2025-03-13,2025-03-13,ONLINE: fec_matricula
CLFC255,410,PRESENCIAL,2025-03-13,0.0,2025-04-04,2025-04-06,2025-04-04,2025-04-06,2025-04-04,2025-04-06,Reconocimiento
